City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
156,dryden,49.7833,-92.7503,267.31,68,75,2.57,CA,1709921319
157,burang,30.25,81.1667,256.26,77,42,1.53,CN,1709921378
158,rossosh',51.1209,38.5116,270.98,89,81,3.08,RU,1709921380
159,trincomalee,8.5711,81.2335,300.03,71,89,3.26,LK,1709921381
160,nadi,-17.8,177.4167,298.15,88,75,0.0,FJ,1709921383
161,remire-montjoly,4.9167,-52.2667,305.17,62,40,7.72,GF,1709921384
162,abancay,-13.6339,-72.8814,295.01,64,99,2.71,PE,1709921180
163,najran,17.4924,44.1277,301.51,60,32,5.97,SA,1709921387
164,naze,28.3667,129.4833,285.19,65,92,7.75,JP,1709921388
165,sarkand,45.41,79.9186,272.2,73,93,3.42,KZ,1709921390
166,saldanha,-33.0117,17.9442,292.05,85,36,5.98,ZA,1709921391
167,serilingampalle,17.4931,78.302,299.49,22,1,2.08,IN,1709921115
168,portland,45.5234,-122.6762,282.22,72,20,3.58,US,1709920876
169,colonia,50.9333,6.95,283.13,50,0,4.12,DE,1709921397
170,papatowai,-46.5619,169.4708,283.71,68,92,8.45,NZ,1709921398
171,cannonvale,-20.2833,148.7,299.81,82,99,9.52,AU,1709921399
172,eyl,7.9803,49.8164,299.43,77,0,4.69,SO,1709921401
173,luderitz,-26.6481,15.1594,292.78,80,1,6.18,NA,1709921295
174,sari,36.5633,53.0601,282.84,89,99,1.5,IR,1709921404
175,nizhneangarsk,55.7833,109.55,262.6,93,100,0.45,RU,1709921405
176,hundested,55.9667,11.8667,274.72,85,0,4.22,DK,1709921406
177,sirte,31.2089,16.5887,289.15,58,96,7.82,LY,1709921408
178,westport,41.1415,-73.3579,286.57,48,0,5.14,US,1709921410
179,khanty-mansiysk,61.0042,69.0019,266.21,79,40,4.92,RU,1709921411
180,kupino,54.3663,77.2981,256.8,99,58,3.59,RU,1709921412
181,panama,9.0,-80.0,305.85,43,33,5.61,PA,1709920837
182,puerto aysen,-45.4,-72.7,281.52,99,100,2.35,CL,1709921196
183,egilsstadir,65.2653,-14.3948,279.1,70,40,4.63,IS,1709921416
184,alofi,-19.0595,-169.9187,297.09,94,99,1.03,NU,1709921418
185,afaahiti,-17.75,-149.2833,301.08,82,50,6.29,PF,1709921419
186,al ghayzah,16.2079,52.176,299.08,77,67,5.82,YE,1709921422
187,fuling,29.7022,107.3919,285.71,69,100,1.43,CN,1709921424
188,longyearbyen,78.2186,15.6401,274.06,80,75,4.12,SJ,1709921426
189,prabumulih,-3.45,104.25,297.27,98,100,1.24,ID,1709921428
190,saint-francois,46.4154,3.9054,282.84,68,75,9.26,FR,1709921440
191,motygino,58.1831,94.7592,254.14,100,96,0.89,RU,1709921452
192,ljubuski,43.1969,17.545,284.83,83,30,0.71,BA,1709921453
193,alice springs,-23.7,133.8833,297.16,60,100,2.57,AU,1709921454
194,enewetak,11.3474,162.3373,299.44,82,100,9.82,MH,1709921455
195,codrington,-38.2667,141.9667,290.28,43,0,3.89,AU,1709921457
196,anadyr,64.75,177.4833,250.43,77,20,3.0,RU,1709921458
197,wahpeton,46.2652,-96.6059,271.55,64,75,4.63,US,1709921460
198,taltal,-25.4,-70.4833,292.37,84,73,3.95,CL,1709921461
199,celestun,20.8667,-90.4,305.15,50,23,2.28,MX,1709921463
200,queen creek,33.2487,-111.6343,290.5,60,20,1.34,US,1709921464
201,san luis,-33.295,-66.3356,305.32,39,4,5.35,AR,1709921465
202,bocas del toro,9.3333,-82.25,302.07,74,84,2.52,PA,1709921467
203,shimoda,34.6667,138.95,277.65,67,0,11.77,JP,1709921468
204,holualoa,19.6228,-155.9522,295.8,78,20,2.06,US,1709921469
205,pisco,-13.7,-76.2167,301.18,57,0,8.23,PE,1709921471
206,mount gambier,-37.8333,140.7667,290.22,34,0,2.69,AU,1709921472
207,anqiu,36.4342,119.1925,273.41,51,0,2.42,CN,1709921473
208,beinamar,8.6698,15.3813,307.31,12,31,1.93,TD,1709921475
209,chernyshevskiy,63.0128,112.4714,264.18,94,100,4.01,RU,1709921476
210,pagouda,9.7525,1.3278,308.49,20,9,1.62,TG,1709921477
211,krasnogorskoye,52.2953,86.1979,261.36,98,87,1.08,RU,1709921479
212,nemuro,43.3236,145.575,270.83,80,100,8.12,JP,1709921323
213,ust-nera,64.5667,143.2,247.02,100,98,0.56,RU,1709921483
214,peniche,39.3558,-9.3811,287.75,90,100,13.61,PT,1709921484
215,qarazhal,48.0078,70.7903,271.39,93,99,3.49,KZ,1709921486
216,port lincoln,-34.7333,135.8667,302.2,30,46,4.51,AU,1709921487
217,korla,41.7597,86.1469,278.06,48,55,0.69,CN,1709921337
218,hermanus,-34.4187,19.2345,293.6,85,5,2.01,ZA,1709921489
219,salym,60.0625,71.4789,266.74,93,100,4.25,RU,1709921491
220,bella vista,36.4295,-94.2316,289.65,84,100,4.63,US,1709921361
221,zhaqsy,51.9083,67.3133,264.7,97,84,3.78,KZ,1709921493
222,nar'yan-mar,67.6713,53.087,252.1,100,83,2.68,RU,1709921495
223,nova vicosa,-17.8919,-39.3719,306.74,41,14,3.99,BR,1709921496
224,dolores,-36.3132,-57.6792,303.29,43,39,4.67,AR,1709921497
225,lubao,14.9167,120.55,296.28,85,22,2.58,PH,1709921498
226,villa regina,-39.1,-67.0667,303.7,15,26,4.02,AR,1709921500
227,zhijiang,30.4214,111.7533,282.82,56,87,1.21,CN,1709921501
228,meadow lake,34.8014,-106.5436,283.06,48,100,1.99,US,1709921503
229,gaogou,34.0175,119.1886,274.72,66,30,2.13,CN,1709921504
230,waitara,-38.925,174.25,288.42,82,20,4.69,NZ,1709921506
231,sisimiut,66.9395,-53.6735,256.59,93,97,4.56,GL,1709921507
232,manicore,-5.8092,-61.3003,306.47,52,82,2.7,BR,1709921509
233,kodinsk,58.6881,99.1844,261.17,100,86,1.11,RU,1709921510
